frame,particle,x,y,z,mass
16,9,0.465348,-3.28739,0.015696,1.0
16,10,-1.544,-0.792319,0.0159258,1.0
16,11,1.31557,-1.45224,0.0687093,1.0
16,12,0.184657,-0.593327,0.0211309,1.0
16,13,-1.8832,0.869479,0.0435467,1.0
16,14,-0.429125,-1.9497,-0.053508,1.0
16,15,-0.284715,0.99768,0.00385142,1.0
17,1,-0.779813,0.585743,0.136522,1.0
17,2,0.913537,1.90857,-0.0388761,1.0
17,3,-0.450934,2.49581,-0.0789859,1.0
17,4,2.04659,0.695207,0.0215254,1.0
17,5,-1.5401,-0.784138,0.0730741,1.0
17,6,-1.21074,-2.62017,-0.0515022,1.0
17,7,0.87119,0.212239,0.0231973,1.0
17,8,-0.145559,-0.656362,-0.0674383,1.0
17,9,0.432496,-3.31016,-0.00164712,1.0
17,10,-1.45062,-0.788282,0.0893476,1.0
17,11,1.25908,-1.42649,-0.112966,1.0
17,12,0.210765,-0.596287,-0.0254166,1.0
17,13,-1.9208,0.88206,-0.0599906,1.0
17,14,-0.409941,-1.9552,-0.166382,1.0
17,15,-0.267637,1.02783,0.15085,1.0
18,1,-0.830001,0.583338,0.0692641,1.0
18,2,0.957215,1.91646,-0.0204909,1.0
18,3,-0.427232,2.5437,-0.00664757,1.0
18,4,2.06421,0.721988,0.0796871,1.0
18,5,-1.49759,-0.736393,0.0205887,1.0
18,6,-1.28668,-2.63256,-0.0611401,1.0
18,7,0.820258,0.187782,0.0296055,1.0
18,8,-0.160799,-0.624761,-0.0393234,1.0
18,9,0.400306,-3.32256,-0.021621,1.0
18,10,-1.35898,-0.784217,-0.0405815,1.0
18,11,1.2007,-1.40098,-0.0956992,1.0
18,12,0.223515,-0.603402,-0.0720543,1.0
18,13,-1.96092,0.897673,0.0371258,1.0
18,14,-0.380073,-1.95678,-0.075552,1.0
18,15,-0.252944,1.05719,0.097718,1.0
19,1,-0.868601,0.582444,0.00185571,1.0
19,2,0.998933,1.92171,-0.00273689,1.0
19,3,-0.404358,2.58805,0.0643824,1.0
19,4,2.07913,0.747151,-0.0624683,1.0
19,5,-1.45652,-0.689927,-0.0291378,1.0
19,6,-1.36575,-2.64289,-0.0714163,1.0
19,7,0.77845,0.171509,0.0346435,1.0
19,8,-0.162651,-0.593937,-0.0144617,1.0
19,9,0.367281,-3.32597,-0.0419585,1.0
19,10,-1.27526,-0.783202,0.0258053,1.0
19,11,1.14133,-1.37978,-0.0800918,1.0
19,12,0.218766,-0.613102,0.0807017,1.0
19,13,-2.00325,0.915787,-0.0650283,1.0
19,14,-0.335544,-1.95442,0.0168233,1.0
19,15,-0.238261,1.08642,0.042732,1.0
20,1,-0.895069,0.584466,0.138288,1.0
20,2,1.03894,1.92036,0.0129369,1.0
20,3,-0.383378,2.62822,-0.0654773,1.0
20,4,2.08914,0.770233,-0.00834556,1.0
20,5,-1.41913,-0.649849,-0.076953,1.0
20,6,-1.44505,-2.65241,-0.080172,1.0
20,7,0.746711,0.167599,0.0378033,1.0
20,8,-0.149431,-0.565965,0.00888015,1.0
20,9,0.332408,-3.32057,-0.0605924,1.0
20,10,-1.20301,-0.783947,0.089455,1.0
20,11,1.08845,-1.36421,-0.0625861,1.0
20,12,0.199054,-0.621255,0.0325611,1.0
20,13,-2.04561,0.933625,0.0332423,1.0
20,14,-0.283881,-1.95222,-0.09036,1.0
20,15,-0.222711,1.11808,-0.0123331,1.0
21,1,-0.910424,0.591818,0.0799128,1.0
21,2,1.07677,1.91462,0.0292678,1.0
21,3,-0.36383,2.66624,0.00555157,1.0
21,4,2.09314,0.792828,0.0445029,1.0
21,5,-1.38529,-0.61449,0.0737752,1.0
21,6,-1.52092,-2.65929,-0.0890495,1.0
21,7,0.728987,0.178112,0.0413438,1.0
21,8,-0.120814,-0.539237,0.0350166,1.0
21,9,0.294169,-3.30479,-0.080052,1.0
21,10,-1.14377,-0.788731,-0.0493833,1.0
21,11,1.04666,-1.35437,-0.042456,1.0
